"payer_id","diagnosis_code","activity_code","pa_risk_score"
"E001","A05.9","H95-B792-14066-02",0.0000
"E001","A05.9","O62-0025-05154-01",0.0000
"E001","A05.9","U90-7991-05180-04",0.0000
"E001","A06.0","74019",0.0000
"E001","A06.0","80053",0.0000
"E001","A06.0","81001",0.0000
"E001","A06.0","81002",0.0000
"E001","A06.0","82150",0.0000
"E001","A06.0","82248",0.0000
"E001","A06.0","82550",0.0000
"E001","A06.0","83690",0.0000
"E001","A06.0","85025",0.0000
"E001","A06.0","86140",0.0000
"E001","A06.0","87177",0.0000
"E001","A06.0","87209",0.0000
"E001","A06.0","87338",0.0000
"E001","A06.0","87880",0.0000
"E001","A06.0","96361",0.0000
"E001","A06.0","96365",0.0000
"E001","A06.0","96367",0.0000
"E001","A06.0","96374",0.0000
"E001","A06.0","96375",0.0000
"E001","A06.0","99231",0.0000
"E001","A06.0","99283",0.0000
"E001","A06.0","B46-3628-02166-01",0.0000
"E001","A06.0","DC5-A195-02166-02",0.0000
"E001","A06.0","EM0-A371-10943-01",0.0000
"E001","A06.0","F15-6596-04308-02",0.0000
"E001","A06.0","H95-B792-14066-02",0.0000
"E001","A06.0","K57-4867-05178-01",0.0000
"E001","A06.0","KL4-5795-09115-02",0.0000
"E001","A06.0","O62-2809-00882-02",0.0000
"E001","A06.9","82274",0.0000
"E001","A06.9","82565",0.0000
"E001","A06.9","82728",0.0000
"E001","A06.9","82784",0.0000
"E001","A06.9","83516",0.0000
"E001","A06.9","84075",0.0000
"E001","A06.9","84450",0.0000
"E001","A06.9","84460",0.0000
"E001","A06.9","85025",0.0000
"E001","A06.9","86140",0.0000
"E001","A06.9","87177",0.0000
"E001","A06.9","87209",0.0000
"E001","A06.9","87507",0.0000
"E001","A06.9","99203",0.0000
"E001","A08.0","80053",0.0000
"E001","A08.0","82805",0.0000
"E001","A08.0","82947",0.0000
"E001","A08.0","83615",0.0000
"E001","A08.0","83690",0.0000
"E001","A08.0","84132",0.0000
"E001","A08.0","85025",0.0000
"E001","A08.0","86140",0.0000
"E001","A08.0","87507",0.0000
"E001","A08.0","96361",0.0000
"E001","A08.0","96365",0.0000
"E001","A08.0","96375",0.0000
"E001","A08.0","99283",0.0000
